finishedfloor1squarefeet,numberofstories,logerror,fireplaceflag,regionidcity,finishedsquarefeet6,regionidzip,typeconstructiontypeid,buildingclasstypeid,longitude,fireplacecnt,regionidcounty,taxdelinquencyflag,pooltypeid10,storytypeid,structuretaxvaluedollarcnt,poolsizesum,garagetotalsqft,censustractandblock,poolcnt,calculatedfinishedsquarefeet,taxdelinquencyyear,latitude,roomcnt,bedroomcnt,yardbuildingsqft17,basementsqft,hashottuborspa,taxamount,threequarterbathnbr,unitcnt,buildingqualitytypeid,assessmentyear,parcelid,landtaxvaluedollarcnt,propertylandusetypeid,propertycountylandusecode,yearbuilt,regionidneighborhood,fips,decktypeid,heatingorsystemtypeid,airconditioningtypeid,architecturalstyletypeid,propertyzoningdesc,garagecarcnt,rawcensustractandblock,fullbathcnt,transactiondate,finishedsquarefeet50,calculatedbathnbr,pooltypeid7,taxvaluedollarcnt,finishedsquarefeet12,finishedsquarefeet13,yardbuildingsqft26,finishedsquarefeet15,lotsizesquarefeet,bathroomcnt,pooltypeid2
,,-0.1087,,46298,,96239,,,-118188282,,3101,,,,105739.0,,,60375703031007,,764.0,,33858954,0.0,2.0,,,,3120.64,,1,7,2015,12453838,140166.0,261,0100,1940.0,276476,06037,,7,,,LBR1N,,060375703.031007,1,2016-08-31,,1.0,,245905.0,764,,,,4638.0,1.0,
,,-0.0336,,47568,,97006,,,-117903643,,1286,,,,88270.0,,0,60590891021009,,904.0,,33761047,0.0,2.0,,,,3024.44,,,,2015,14688369,152621.0,266,34,1978.0,,06059,,,,,,2,060590891.021009,2,2016-05-25,,2.0,,240891.0,904,,,,,2.0,
,,-0.0151,,11626,,96486,,,-117811721,,3101,,,,248160.0,,,60374004021002,1,2997.0,,34127942,0.0,4.0,,,,4497.55,,1,4,2015,13044063,106857.0,261,0101,1960.0,,06037,,2,1,,GDE6,,060374004.021002,3,2016-02-05,,3.0,1,355017.0,2997,,,,13226.0,3.0,
1200,2,0.008,,34278,,96351,,,-118949396,1,2061,,,,200485.0,,695,61110059015009,,2159.0,,34159575,8.0,4.0,,,,3225.46,,,,2015,17267128,104305.0,261,1111,1984.0,46736,06111,,,,,,2,061110059.015009,3,2016-08-04,1200,3.0,,304790.0,2159,,,,10790.0,3.0,
,,-0.0101,,24384,,96505,,,-117828791,,3101,,,,245474.0,,,60374033221021,1,2268.0,,33987883,0.0,3.0,,,,6009.47,,1,4,2015,12858995,254628.0,261,0101,1978.0,,06037,,2,1,,LCR18000*,,060374033.221021,3,2016-07-18,,3.0,1,500102.0,2268,,,,14620.0,3.0,
,2,0.077,,25218,,96964,,,-117967199,,1286,,,,424724.0,,460,60590992394003,,4048.0,,33646712,7.0,3.0,,,,9847.78,,,,2015,14044959,442271.0,261,122,2005.0,,06059,,,,,,2,060590992.394003,4,2016-02-09,,4.0,,866995.0,4048,,,,6244.0,4.0,
,2,-0.0629,,25218,4304,96965,,,-118003668,,1286,,,,206292.0,,0,60590994112008,,4304.0,,33721530,0.0,0.0,,,,13843.78,,4,,2015,14028887,975347.0,248,96,1969.0,,06059,,,,,,0,060590994.112008,,2016-09-14,,,,1181639.0,,,,,7327.0,0.0,
,2,-0.0598,,40081,,97005,,,-117822866,,1286,,,,126045.0,,440,60590757011002,1,2879.0,,33772979,7.0,4.0,,,true,2044.28,,,,2015,14245859,25547.0,261,122,1961.0,,06059,,,,,,2,060590757.011002,3,2016-02-16,,3.0,,151592.0,2879,,,,13900.0,3.0,1
,,0.008,,52650,,96954,,,-117757782,,1286,,,,314266.0,,0,60590524173013,,2345.0,,33701364,0.0,4.0,,,,10974.86,,,,2015,14602304,446146.0,266,1,2004.0,276486,06059,,,,,,2,060590524.173013,3,2016-02-03,,3.0,,760412.0,2345,,,,,3.0,
,1,0.063,,17150,,97035,,,-117917197,1,1286,,,,111160.0,,451,60590014032012,1,1732.0,,33936166,7.0,4.0,,,,3566.58,,,,2015,14153076,175809.0,261,122,1961.0,,06059,,,,,,2,060590014.032012,2,2016-02-10,,2.0,1,286969.0,1732,,,,7200.0,2.0,
,,0.4266,,12447,,96379,,,-118541906,,3101,,,,91822.0,,,60371393013022,1,1036.0,,34173978,0.0,3.0,,,,4400.85,,1,7,2015,10798061,256403.0,261,0101,1950.0,47950,06037,,7,,,LAR1,,060371393.013022,1,2016-09-08,,1.0,1,348225.0,1036,,,,6140.0,1.0,
,,-0.0419,,20008,,96507,,,-117749973,,3101,,,,109759.0,,,60374017032005,,1451.0,,34101165,0.0,3.0,,,,4113.65,,1,4,2015,12896267,96616.0,261,0100,1958.0,,06037,,2,,,POR171/2,,060374017.032005,2,2016-04-11,,2.0,,206375.0,1451,,,,7620.0,2.0,
,,-0.005,,25458,,96971,,,-117700007,,1286,,,,210780.0,,654,60590423273015,,2305.0,,33579458,0.0,4.0,,,,3241.56,1,,,2015,14388137,104200.0,261,122,1986.0,,06059,,,,,,2,060590423.273015,2,2016-04-22,,2.5,,314980.0,2305,,,,12800.0,2.5,
,,-0.0141,,21412,,97079,,,-117731775,,1286,,,,164163.0,,0,60590218271005,,1252.0,,33883771,0.0,2.0,,,,3180.02,,,,2015,14700300,54367.0,266,1,2010.0,,06059,,,,,,1,060590218.271017,2,2016-06-02,,2.0,,218530.0,1252,,,,,2.0,
,1,0.0257,,16764,,97021,,,-117935946,,1286,,,,34192.0,,396,60590871052005,,1343.0,,33822583,7.0,4.0,,,,959.4,,,,2015,14114662,26832.0,261,122,1956.0,275496,06059,,,,,,1,060590871.052005,2,2016-03-30,,2.0,,61024.0,1343,,,,7245.0,2.0,
,,0.0383,,12447,,96389,,,-118657000,,3101,,,,436551.0,,,60371352035012,1,2445.0,,34184300,0.0,3.0,,,,7170.22,,1,4,2015,10726315,144837.0,266,010C,1982.0,48570,06037,,2,1,,LARD3,,060371352.035012,3,2016-08-24,,3.0,1,581388.0,2445,,,,63878.0,3.0,
,,0.138,,47019,,96293,,,-118158000,,3101,,,,844762.0,,,60374637002008,,3460.0,,34141100,0.0,3.0,,,,15042.1,,1,1,2015,12097159,454858.0,266,010C,2014.0,275411,06037,,2,1,,PSC*,,060374637.002008,4,2016-04-05,,4.0,,1299620.0,3460,,,,,4.0,
,,0.01,,24384,,96505,,,-117802733,,3101,,,,72650.0,,,60374033163006,,1272.0,,34027036,0.0,3.0,,,,3090.38,,1,4,2015,13060497,147784.0,261,0100,1964.0,,06037,,2,1,,LCR108,,060374033.163006,2,2016-09-23,,2.0,,220434.0,1272,,,,10452.0,2.0,
,,-0.0294,,47019,,96295,,,-118072436,,3101,,,,209588.0,,,60374630001009,,1750.0,,34152180,0.0,3.0,,,,3840.65,,1,7,2015,12126440,102962.0,261,0100,1950.0,274705,06037,,2,,,PSR6,,060374630.001009,2,2016-09-28,,2.0,,312550.0,1750,,,,9345.0,2.0,
,,0.0363,,12447,,96028,,,-118310602,,3101,,,,19354.0,,,60372384004002,,1278.0,,33955636,0.0,2.0,,,,619.55,,1,7,2015,12208471,17520.0,261,0100,1925.0,118208,06037,,7,,,LAR1,,060372384.004002,1,2016-02-07,,1.0,,36874.0,1278,,,,5400.0,1.0,
,,0.002,,52835,,96998,,,-117633152,,1286,,,,292938.0,,409,60590320592003,,2457.0,,33543728,0.0,4.0,,,,10678.78,1,,,2015,14456726,436692.0,261,1,2003.0,,06059,,,,,,2,060590320.592003,3,2016-01-11,,3.5,,729630.0,2457,,,,5425.0,3.5,
853,2,0.045,,13150,,97101,,,-119163826,1,2061,,,,140920.0,,0,61110031002072,,1763.0,,34206517,6.0,3.0,,,,2968.54,1,,,2015,17177356,93946.0,266,1129,1995.0,,06111,,,,,,2,061110031.002072,2,2016-07-13,853,2.5,,234866.0,1763,,,,,2.5,
,,0.003,,47019,,96292,,,-118139382,,3101,,,,98810.0,,,60374615013007,,1836.0,,34172500,0.0,3.0,,,,9689.67,,1,7,2015,12165745,397676.0,261,0100,1910.0,274695,06037,,7,,,PSR6,,060374615.013007,1,2016-04-06,,1.0,,496486.0,1836,,,,9253.0,1.0,
,2,-0.0566,,32380,,96962,,,-117668361,,1286,,,,120405.0,,0,60590524232000,1,1266.0,,33655727,6.0,3.0,,,,4221.46,1,,,2015,14648197,116994.0,266,34,1986.0,,06059,,6,1,,,2,060590524.232000,2,2016-03-31,,2.5,1,237399.0,1266,,,,,2.5,
,,0.0208,,54311,,96374,,,-118455000,,3101,,,,82900.0,,,60379200355011,1,795.0,,34421000,0.0,2.0,,,,2493.62,,1,4,2015,11105537,92300.0,266,010C,1987.0,37739,06037,,2,1,,SCUR3,,060379200.355011,2,2016-07-12,,2.0,1,175200.0,795,,,,312806.0,2.0,
,2,-0.006,,53571,,96978,,,-117866580,,1286,,,,735530.0,,657,60590630072003,1,4474.0,,33629782,8.0,5.0,,,,23162.76,1,,,2015,14297093,1412531.0,261,122,1984.0,,06059,,,13,,,2,060590630.072003,4,2016-06-15,,4.5,1,2148061.0,4474,,,,9000.0,4.5,
,,0.0178,,32380,,96946,,,-117661799,,1286,,,,223357.0,,559,60590524263000,,1694.0,,33684530,0.0,3.0,,,,5476.56,1,,,2015,14361812,231438.0,261,122,1993.0,,06059,,,,,,2,060590524.263000,2,2016-04-13,,2.5,,454795.0,1694,,,,4221.0,2.5,
,,-0.0726,,32380,,96989,,,-117623800,,1286,,,,114296.0,,0,60590524282006,,1297.0,,33684889,0.0,3.0,,,,5197.58,1,,,2015,14737434,330704.0,266,34,1988.0,,06059,,,,,,2,060590524.282008,2,2016-06-16,,2.5,,445000.0,1297,,,,,2.5,
,,0.0237,,20008,,96506,,,-117730851,,3101,,,,4482.0,,,60374029031002,,1363.0,,34041754,0.0,3.0,,,,440.47,,1,7,2015,12877292,6640.0,261,0100,1901.0,,06037,,7,,,POT4*,,060374029.031002,2,2016-08-03,,2.0,,11122.0,1363,,,,8028.0,2.0,
2084,1,-0.006,,34278,,96351,,,-118952983,2,2061,,,,313282.0,,615,61110059012008,,2084.0,,34169978,8.0,4.0,720,,,5920.34,,,,2015,17271242,208853.0,261,1111,1984.0,46736,06111,,,,,,2,061110059.012008,2,2016-10-06,2084,2.0,,522135.0,2084,,,,14885.0,2.0,
,,0.004,,12447,,96426,,,-118478667,,3101,,,,122038.0,,,60371414003002,,1970.0,,34164644,0.0,3.0,,,,3347.31,,1,4,2015,10854482,144793.0,261,0100,1951.0,51906,06037,,7,,,LARE9,,060371414.003002,3,2016-01-28,,3.0,,266831.0,1970,,,,10337.0,3.0,
,,0.0129,,12447,,96020,,,-118268119,,3101,,,,348230.0,,,60371882012006,,1616.0,,34111135,0.0,3.0,,,,14473.22,,2,7,2015,11948604,830399.0,246,0200,1950.0,268473,06037,,,,,LARD1.5,,060371882.012006,2,2016-04-20,,2.0,,1178629.0,,,,1616,11647.0,2.0,
,,-0.064,,47019,,96295,,,-118094680,,3101,,,,108261.0,,,60374633001011,,1845.0,,34138857,0.0,2.0,,,,5778.84,,1,7,2015,12121360,313055.0,261,0100,1941.0,275426,06037,,2,,,LCR1*,,060374633.001011,2,2016-02-22,,2.0,,421316.0,1845,,,,6205.0,2.0,
,,-0.1863,,12447,,96029,,,-118365658,,3101,,,,612307.0,,,60372146003007,1,2041.0,,34073310,0.0,3.0,,,,23024.82,,1,4,2015,11986412,770916.0,261,0101,1931.0,276450,06037,,2,,,LAR1,,060372146.003007,2,2016-08-24,,2.0,1,1383223.0,2041,,,,6296.0,2.0,
,,-0.0161,,12447,,96364,,,-118548000,,3101,,,,118784.0,,,60371325021004,1,1269.0,,34189300,0.0,3.0,,,,2628.89,,1,4,2015,10782695,86259.0,266,010C,1977.0,40548,06037,,2,1,,LARD2,,060371325.021004,2,2016-04-26,,2.0,1,205043.0,1269,,,,236230.0,2.0,
,,0.0459,,12447,,95985,,,-118313000,,3101,,,,241082.0,,,60371924201004,,1810.0,,34080600,0.0,3.0,,,,6845.84,,1,1,2015,11993101,321443.0,266,010C,2008.0,274517,06037,,2,1,,LAR3,,060371924.201004,3,2016-06-13,,3.0,,562525.0,1810,,,,,3.0,
,,-0.0545,,12447,,96415,,,-118471218,,3101,,,,210223.0,,,60371277111005,,1440.0,,34187478,0.0,3.0,,,,4813.93,,1,4,2015,10838619,175505.0,261,0100,1947.0,41466,06037,,2,1,,LAR1,,060371277.111005,2,2016-06-13,,2.0,,385728.0,1440,,,,6577.0,2.0,
2204,2,0.1881,,42091,,96342,,,-118678906,2,2061,,,,162939.0,,836,61110075111018,,3401.0,,34213169,10.0,5.0,630,,,2777.1,1,,,2015,17300497,37707.0,261,1110,1975.0,,06111,,,,,,3,061110075.111018,3,2016-08-09,2204,3.5,,200646.0,3401,,,,73616.0,3.5,
,,-0.045,,12447,,96046,,,-118221319,,3101,,,,109289.0,,,60371863022000,,1575.0,,34112559,0.0,3.0,,,,6115.95,,1,7,2015,11962951,382516.0,261,0100,1960.0,116774,06037,,2,,,LAR1,,060371863.022000,2,2016-06-30,,2.0,,491805.0,1575,,,,8173.0,2.0,
,2,-0.006,,42967,,96203,,,-117999835,,1286,,,,69927.0,,417,60590878023003,,1163.0,,33811337,6.0,3.0,,,,3241.06,1,,,2015,13920986,172536.0,261,122,1972.0,,06059,,,13,,,2,060590878.023003,1,2016-05-27,,1.5,,242463.0,1163,,,,1862.0,1.5,
,,0.0402,,396053,,95983,,,-118249419,,3101,,,,39737.0,,,60375352002013,,1292.0,,33952586,0.0,3.0,,,,2842.87,,1,7,2015,12217796,118141.0,261,0100,1916.0,,06037,,7,,,LCR2YY,,060375352.002013,1,2016-09-02,,1.0,,157878.0,1292,,,,4429.0,1.0,
,,0.0344,,14542,,96525,,,-117909415,,3101,,,,436200.0,,,60374080061009,,4050.0,,34030248,0.0,9.0,,,,13134.68,,4,4,2015,13090409,479800.0,248,0400,1976.0,,06037,,,1,,WCPCD1*,,060374080.061009,7,2016-08-04,,7.0,,916000.0,,,,4050,10532.0,7.0,
,,0.045,,52835,,96998,,,-117631742,,1286,,,,757024.0,,431,60590320581000,,4623.0,,33543360,0.0,5.0,,,,23858.68,1,,,2015,14458569,678976.0,261,1,2004.0,,06059,,,,,,2,060590320.581000,5,2016-04-27,,5.5,,1436000.0,4623,,,,8933.0,5.5,
,,-0.1043,,33837,,96514,,,-118081838,,3101,,,,286174.0,,,60374800022000,,2083.0,,34124585,0.0,4.0,,,,11207.31,,1,4,2015,11920948,579681.0,261,0100,2009.0,,06037,,2,1,,LCR1YY,,060374800.022000,2,2016-07-15,,2.0,,865855.0,2083,,,,7716.0,2.0,
,,-0.1087,,12447,,96086,,,-118403180,,3101,,,,1219677.0,,,60372611012014,1,3162.0,,34098516,0.0,4.0,,,,28078.71,,1,1,2015,11640492,1075348.0,261,0101,1955.0,113749,06037,,2,1,,LARE15,,060372611.012014,4,2016-07-18,,4.0,1,2295025.0,3162,,,,7048.0,4.0,
,,-0.0171,,12447,,96047,,,-118428000,,3101,,,,155719.0,,,60372716001007,,662.0,,34021200,0.0,1.0,,,,4754.31,,1,4,2015,11555849,104510.0,266,010E,1987.0,116415,06037,,2,1,,LAR3,,060372716.001007,1,2016-09-14,,1.0,,260229.0,662,,,,,1.0,
,,-0.0131,,16764,,97027,,,-117725928,,1286,,,,147992.0,,0,60590219231003,,1171.0,,33854501,0.0,3.0,,,,3934.7,,,,2015,14601462,201478.0,266,34,1991.0,113455,06059,,,,,,1,060590219.231003,3,2016-03-16,,3.0,,349470.0,1171,,,,,3.0,
,,0.0247,,53636,,96193,,,-118089762,,3101,,,,189886.0,,,60375529002009,,1964.0,,33887851,0.0,5.0,,,,4560.32,,1,7,2015,12759184,151107.0,261,0100,1947.0,,06037,,2,1,,NOR1*,,060375529.002009,3,2016-08-08,,3.0,,340993.0,1964,,,,5251.0,3.0,
,,0.0392,,13716,,96201,,,-118084038,,3101,,,,34097.0,,,60375027003018,,834.0,,33949153,0.0,2.0,,,,2309.59,,1,7,2015,12717149,108828.0,261,0100,1950.0,,06037,,7,,,SSR1*,,060375027.003018,1,2016-02-22,,1.0,,142925.0,834,,,,5057.0,1.0,
,,0.0208,,46298,,96237,,,-118122582,,3101,,,,39753.0,,,60375775011004,,1507.0,,33758501,0.0,3.0,,,,1409.54,,1,4,2015,12527851,58113.0,261,0100,1961.0,116828,06037,,2,,,LBR1S,,060375775.011004,2,2016-07-28,,2.0,,97866.0,1507,,,,3647.0,2.0,
,,-0.004,,54311,,96373,,,-118523341,,3101,,,,138443.0,,,60379200183000,,1691.0,,34452047,0.0,3.0,,,,4347.18,,1,4,2015,11108075,137173.0,261,0100,1990.0,6952,06037,,2,1,,SCUR2,,060379200.183000,3,2016-08-08,,3.0,,275616.0,1691,,,,7589.0,3.0,
,,0.0149,,8384,,97008,,,-117919000,,1286,,,,68351.0,,0,60590992272022,,702.0,,33724600,0.0,1.0,,,,1738.66,,,,2015,14728018,65999.0,266,34,1983.0,,06059,,,,,,1,060590992.272022,1,2016-06-27,,1.0,,134350.0,702,,,,,1.0,
,,0,,30908,,96469,,,-117699671,,3101,,,,157400.0,,,60374018001041,,1783.0,,34117350,0.0,3.0,,,,5702.67,,1,4,2015,12866619,260600.0,266,010C,1981.0,764134,06037,,2,1,,CLRM*,,060374018.001041,3,2016-08-03,,3.0,,418000.0,1783,,,,106972.0,3.0,
,,-0.0212,,12447,,96284,,,-118288000,,3101,,,,94000.0,,,60371012102000,1,1409.0,,34253400,0.0,2.0,,,,4034.95,,1,4,2015,11001533,271000.0,266,010C,1979.0,27484,06037,,2,1,,LAR3,,060371012.102000,3,2016-05-23,,3.0,1,365000.0,1409,,,,47373.0,3.0,
1689,2,-0.0555,,34278,,96383,,,-118880638,1,2061,,,,213820.0,525,580,61110067002012,1,2797.0,,34202882,9.0,5.0,336,,,3766.22,,,,2015,17212542,142542.0,261,1111,1966.0,,06111,,,,,,2,061110067.002012,3,2016-07-22,1689,3.0,1,356362.0,2797,,,,12352.0,3.0,
,,0.0218,,46298,,96240,,,-118186623,,3101,,,,123651.0,,,60375732022003,,2648.0,,33793209,0.0,7.0,,,,2878.07,,3,7,2015,12503450,81050.0,247,0300,1919.0,275067,06037,,,,,LBPD29,,060375732.022003,3,2016-02-09,,3.0,,204701.0,,,,2648,6235.0,3.0,
,,-0.0121,,46298,,96242,,,-118112977,,3101,,,,69901.0,,,60375741001004,,1397.0,,33815003,0.0,3.0,,,,1789.01,,1,7,2015,12496749,59343.0,261,0100,1950.0,276606,06037,,7,,,LBR1N,,060375741.001004,2,2016-06-09,,2.0,,129244.0,1397,,,,4986.0,2.0,
,,0.0554,,39306,,96488,,,-117965000,,3101,,,,50358.0,,,60374071014002,1,567.0,,34046000,0.0,1.0,,,,1054.39,,1,7,2015,12809156,12574.0,266,010C,1960.0,,06037,,7,,,LPR3*,,060374071.014002,1,2016-05-26,,1.0,1,62932.0,567,,,,189404.0,1.0,
,,0.0208,,46298,,96241,,,-118197000,,3101,,,,243588.0,,,60375720023006,1,1423.0,,33823000,0.0,3.0,,,,4366.29,,1,4,2015,12465463,116207.0,266,010C,1975.0,274358,06037,,2,1,,LBR4R,,060375720.023010,2,2016-05-10,,2.0,1,359795.0,1423,,,,195023.0,2.0,
,,-0.0233,,33252,,97064,,,-117847000,,1286,,,,79517.0,,0,60590759024000,,849.0,,33777600,0.0,1.0,,,,1710.38,,,,2015,14609241,50920.0,266,34,1979.0,,06059,,,,,,1,060590759.024000,1,2016-08-31,,1.0,,130437.0,849,,,,,1.0,
,,0.0119,,12520,,96116,,,-118767577,,3101,,,,613119.0,,,60378004081013,,2725.0,,34025179,0.0,2.0,,,,67242.57,,2,7,2015,11684212,277425.0,246,0200,1935.0,,06037,,,,,LCR17500*,,060378004.081013,4,2016-04-15,,4.0,,890544.0,,,,2725,13343.0,4.0,
,,0.0411,,12447,,96346,,,-118614224,,3101,,,,108409.0,,,60371132371008,,1328.0,,34248908,0.0,3.0,,,,3123.29,,1,7,2015,11079328,132124.0,261,0100,1950.0,37835,06037,,7,,,LARA,,060371132.371008,1,2016-06-28,,1.0,,240533.0,1328,,,,17503.0,1.0,
,,0.0149,,46298,,96238,,,-118161000,,3101,,,,84000.0,,,60375751012003,,1023.0,,33789500,0.0,2.0,,,,3461.43,,1,4,2015,12540965,206000.0,266,010C,1993.0,416315,06037,,2,1,,LBCO,,060375751.012003,2,2016-03-10,,2.0,,290000.0,1023,,,,47551.0,2.0,
,1,0.008,,53571,,96978,,,-117903859,,1286,,,,37966.0,,,60590630101006,,1086.0,,33629623,5.0,2.0,,,,1208.04,,,,2015,14665945,43189.0,266,34,1961.0,,06059,,24,,,,,060590630.101006,2,2016-01-11,,2.0,,81155.0,1086,,,,,2.0,
,,-0.121,,46298,,96237,,,-118138606,,3101,,,,,,,60375773002007,,778.0,,33758778,0.0,1.0,,,,7186.04,,1,7,2015,12531057,596688.0,261,0100,1925.0,113713,06037,,7,,,LBR2S,,060375773.002007,1,2016-01-21,,1.0,,596688.0,778,,,,2967.0,1.0,
,,-0.0325,,40009,,96975,,,-117834699,,1286,,,,214170.0,,0,60590626452002,,1943.0,,33610255,0.0,3.0,,,,10859.16,1,,,2015,14696901,800710.0,266,34,1995.0,,06059,,,,,,2,060590626.452001,2,2016-10-03,,2.5,,1014880.0,1943,,,,,2.5,
,,-0.2575,,,,96403,,,-118413229,,3101,,,,103420.0,,,60379200121100,,1130.0,,34618908,0.0,2.0,,,,2063.97,,1,7,2015,11338447,12046.0,261,0100,1959.0,,06037,,7,,,LCR17500*,,060379200.121100,1,2016-07-26,,1.0,,115466.0,1130,,,,10006.0,1.0,
,,-0.0672,,12447,,96446,,,-118374000,,3101,,,,109100.0,,,60371242041003,1,860.0,,34174200,0.0,2.0,,,,3106.92,,1,7,2015,10891118,140900.0,266,010C,1981.0,46795,06037,,2,1,,LARD1.5,,060371242.041003,1,2016-03-10,,1.0,1,250000.0,860,,,,29963.0,1.0,
,,-0.0715,,12447,,96028,,,-118306228,,3101,,,,84494.0,,,60372384002015,,1225.0,,33952872,0.0,2.0,,,,1950.69,,1,7,2015,12209429,59137.0,261,0100,1937.0,118208,06037,,7,,,LAR1,,060372384.002015,1,2016-09-01,,1.0,,143631.0,1225,,,,5609.0,1.0,
,,-0.0305,,12447,,96006,,,-118453000,,3101,,,,256000.0,,,60372675011010,,1207.0,,34041100,0.0,2.0,,,,7338.86,,1,4,2015,11565385,358000.0,266,010E,1989.0,117954,06037,,2,1,,LAR3,,060372675.011010,2,2016-03-08,,2.0,,614000.0,1207,,,,35555.0,2.0,
107,2,0.0266,,34278,,96385,,,-118809791,,2061,,,,312000.0,,904,61110074021004,,2532.0,,34197149,7.0,3.0,,,,9512.96,1,,,2015,17291132,578000.0,261,1111,1987.0,,06111,66,,,,,4,061110074.021004,2,2016-06-28,107,2.5,,890000.0,2532,,,,9138.0,2.5,
,,0.0564,,46298,,96239,,,-118158305,,3101,,,,447172.0,,,60375702031006,,4056.0,,33877934,0.0,8.0,,,,7789.67,,4,7,2015,12446544,162066.0,248,0400,1964.0,276476,06037,,,,,LBR3T,,060375702.031006,8,2016-09-14,,8.0,,609238.0,,,,4056,5501.0,8.0,
,,-0.044,,12447,,96001,,,-118323003,,3101,,,,499689.0,,,60372110002004,1,4570.0,,34064893,0.0,5.0,,,,18815.84,,1,1,2015,11983739,1018187.0,261,0101,1920.0,274517,06037,,2,,,LARE11,,060372110.002004,4,2016-07-15,,4.0,1,1517876.0,4570,,,,13381.0,4.0,
,,0.01,,45457,,96325,,,-118202321,,3101,,,,58113.0,,,60373009022000,,1740.0,,34152976,0.0,3.0,,,,1104.05,,1,4,2015,12080120,37097.0,261,0100,1951.0,273834,06037,,2,1,,GLR1YY,,060373009.022000,3,2016-02-25,,3.0,,95210.0,1740,,,,7993.0,3.0,
,1,-0.0192,,52650,,96948,,,-117813258,,1286,,,,123019.0,,504,60590525191009,,1774.0,,33676421,6.0,3.0,,,,8049.5,,,,2015,14307664,631766.0,261,122,1980.0,276119,06059,,,,,,2,060590525.191009,3,2016-06-08,,3.0,,754785.0,1774,,,,3240.0,3.0,
,,-0.0356,,45398,,96104,,,-118304945,,3101,,,,115238.0,,,60376030061011,,3930.0,,33888232,0.0,6.0,,,,2450.75,,4,7,2015,12245280,37513.0,248,0400,1972.0,,06037,,,,,GAR3,,060376030.061011,5,2016-08-26,,5.0,,152751.0,,,,3930,6844.0,5.0,
,,0.005,,46298,,96237,,,-118121082,,3101,,,,143919.0,,,60375775011022,,1169.0,,33757731,0.0,2.0,,,,8576.75,,1,7,2015,12526859,575678.0,261,0100,1941.0,116828,06037,,7,,,LBR1S,,060375775.011022,1,2016-06-03,,1.0,,719597.0,1169,,,,4568.0,1.0,
,,0.1062,,15554,,96993,,,-117613286,,1286,,,,121885.0,,0,60590320493015,,1064.0,,33655962,0.0,2.0,,,,5685.54,,,,2015,14720961,154759.0,266,34,1994.0,,06059,,,,,,1,060590320.493015,2,2016-03-16,,2.0,,276644.0,1064,,,,,2.0,
,,-0.1154,,41673,,96384,,,-118808434,,3101,,,,380500.0,,,60378003261028,1,3584.0,,34142587,0.0,4.0,,,,13058.89,,1,4,2015,10746090,573000.0,269,010D,1975.0,,06037,,2,1,,WVRPD12U*,,060378003.261028,4,2016-03-25,,4.0,1,953500.0,3584,,,,18172.0,4.0,
,1,-0.001,,10608,,96180,,,-118004000,,1286,,,,114056.0,,396,60591102011009,,1540.0,,33835502,6.0,4.0,,,,5673.9,,,,2015,14015343,369256.0,261,122,1955.0,,06059,,,,,,1,060591102.011009,3,2016-06-17,,3.0,,483312.0,1540,,,,6000.0,3.0,
,,-0.078,,24384,,96505,,,-117819451,,3101,,,,415600.0,,,60374033231010,,1872.0,,34001419,0.0,4.0,,,,8272.0,,1,4,2015,12860517,263300.0,266,01DC,2006.0,,06037,,2,1,,LCC3,,060374033.231010,3,2016-05-27,,3.0,,678900.0,1872,,,,57812.0,3.0,
,,0.1781,,30399,,96083,,,-118182806,,3101,,,,85984.0,,,60375338034001,,1304.0,,33973094,0.0,2.0,,,,4745.42,,1,7,2015,12365682,194510.0,261,0100,1940.0,,06037,,7,,,BLR1YY,,060375338.034001,1,2016-02-22,,1.0,,280494.0,1304,,,,5989.0,1.0,
649,2,0.0276,,27110,,97116,,,-118685824,1,2061,Y,,,176137.0,,0,61110083063011,,1709.0,14,34272931,6.0,3.0,,,,4197.28,1,,,2015,17262449,176137.0,265,1128,1981.0,,06111,,,,,,2,061110083.063011,2,2016-04-22,649,2.5,,352274.0,1709,,,,1575.0,2.5,
,1,-0.0111,,38032,,96958,,,-117934838,2,1286,,,,89306.0,,427,60590638051005,,1750.0,,33690858,7.0,4.0,,,,6660.06,,,,2015,14018674,481401.0,261,122,1960.0,,06059,,,,,,2,060590638.051005,3,2016-07-15,,3.0,,570707.0,1750,,,,6400.0,3.0,
,,0.0658,,52650,,96940,,,-117801882,,1286,,,,3821647.0,,2243,60590626042037,1,10680.0,,33628153,0.0,6.0,,,true,76140.66,2,,,2015,14321985,2655226.0,261,1,2005.0,275340,06059,,,,,,8,060590626.042037,7,2016-01-12,,8.0,,6476873.0,10680,,,,21083.0,8.0,1
,,-0.1098,,5534,,97318,,,-118095075,,3101,,,,111696.0,,,60379006092000,,2094.0,,34694602,0.0,3.0,,,,2574.83,,1,4,2015,11296626,27921.0,261,0100,1990.0,,06037,,2,1,,LRA22*,,060379006.092000,3,2016-07-08,,3.0,,139617.0,2094,,,,5997.0,3.0,
,,0.0325,,40227,,97329,,,-118235026,,3101,,,,225000.0,,,60379103011021,,2815.0,,34631855,0.0,4.0,,,,5160.42,,1,4,2015,11260850,104000.0,261,0100,1993.0,,06037,,2,1,,PDR 1 1000,,060379103.011021,3,2016-07-13,,3.0,,329000.0,2815,,,,11652.0,3.0,
